name,cd_nom,lb_nom_key,label,regne
70971,70971,Aaptos aaptos (#ref),Aaptos aaptos (#ref){70971},Animalia
549734,549734,Aaptos adriatica,Aaptos adriatica{549734},Animalia
70972,70972,Aaptos papillata (#ref),Aaptos papillata (#ref){70972},Animalia
359644,359644,Aaptos papillatus (#ref),Aaptos papillatus (#ref){359644},Animalia
188659,188659,Aaptos (#ref),Aaptos (#ref){188659},Animalia
775463,775463,Aaroniella andrei (#ref),Aaroniella andrei (#ref){775463},Animalia
212088,212088,Aaroniella (#ref),Aaroniella (#ref){212088},Animalia
610592,610592,Aaronsohnia pubescens (#ref),Aaronsohnia pubescens (#ref){610592},Plantae
606842,606842,Aaronsohnia (#ref),Aaronsohnia (#ref){606842},Plantae
715281,715281,Abacaria caledona (#ref),Abacaria caledona (#ref){715281},Animalia
715280,715280,Abacaria (#ref),Abacaria (#ref){715280},Animalia
221232,221232,Abacarus hystrix (#ref),Abacarus hystrix (#ref){221232},Animalia
201833,201833,Abacarus (#ref),Abacarus (#ref){201833},Animalia
638047,638047,Abacarus sacchari,Abacarus sacchari{638047},Animalia
720173,720173,Abacarus sacchari (#ref),Abacarus sacchari (#ref){720173},Animalia
603245,603245,Abacena accincta (#ref),Abacena accincta (#ref){603245},Animalia
603246,603246,Abacena discalis (#ref),Abacena discalis (#ref){603246},Animalia
602322,602322,Abacena (#ref),Abacena (#ref){602322},Animalia
188660,188660,Abacetus (#ref),Abacetus (#ref){188660},Animalia
9069,9069,Abacetus salzmanni (#ref),Abacetus salzmanni (#ref){9069},Animalia
414864,414864,Abacobia carbonella,Abacobia carbonella{414864},Animalia
584762,584762,Abacola holothuriae,Abacola holothuriae{584762},Animalia
568944,568944,Abaconia naufraga,Abaconia naufraga{568944},Animalia
202360,202360,Abacoproeces (#ref),Abacoproeces (#ref){202360},Animalia
233451,233451,Abacoproeces saltuum (#ref),Abacoproeces saltuum (#ref){233451},Animalia
79313,79313,Abacosa dumetorum,Abacosa dumetorum{79313},Plantae
79314,79314,Abacosa onobrychioides,Abacosa onobrychioides{79314},Plantae
533322,533322,Abalistes filamentosus (#ref),Abalistes filamentosus (#ref){533322},Animalia
419386,419386,Abalistes (#ref),Abalistes (#ref){419386},Animalia
578061,578061,Abalistes stellairs,Abalistes stellairs{578061},Animalia
423070,423070,Abalistes stellaris (#ref),Abalistes stellaris (#ref){423070},Animalia
423071,423071,Abalistes stellatus (#ref),Abalistes stellatus (#ref){423071},Animalia
79315,79315,Abama ossifraga,Abama ossifraga{79315},Plantae
562630,562630,Abantennarius analis,Abantennarius analis{562630},Animalia
562631,562631,Abantennarius neocaledoniensis,Abantennarius neocaledoniensis{562631},Animalia
733811,733811,Abarema barbouriana (#ref),Abarema barbouriana (#ref){733811},Plantae
741429,741429,Abarema barbouriana var. barbouriana (#ref),Abarema barbouriana var. barbouriana (#ref){741429},Plantae
767318,767318,Abarema claviflora,Abarema claviflora{767318},Plantae
733812,733812,Abarema curvicarpa (#ref),Abarema curvicarpa (#ref){733812},Plantae
741431,741431,Abarema curvicarpa var. curvicarpa (#ref),Abarema curvicarpa var. curvicarpa (#ref){741431},Plantae
733813,733813,Abarema gallorum (#ref),Abarema gallorum (#ref){733813},Plantae
630943,630943,Abarema jupunba (#ref),Abarema jupunba (#ref){630943},Plantae
741433,741433,Abarema jupunba var. jupunba (#ref),Abarema jupunba var. jupunba (#ref){741433},Plantae
741434,741434,Abarema jupunba var. trapezifolia (#ref),Abarema jupunba var. trapezifolia (#ref){741434},Plantae
733814,733814,Abarema laeta (#ref),Abarema laeta (#ref){733814},Plantae
733815,733815,Abarema mataybifolia (#ref),Abarema mataybifolia (#ref){733815},Plantae
767319,767319,Abarema racemosa,Abarema racemosa{767319},Plantae
628277,628277,Abarema (#ref),Abarema (#ref){628277},Plantae
767320,767320,Abarema trapezifolia,Abarema trapezifolia{767320},Plantae
371817,371817,Abarenicola claparedei,Abarenicola claparedei{371817},Animalia
566620,566620,Abarenicola claparedii,Abarenicola claparedii{566620},Animalia
531330,531330,Abarenicola claparedi (#ref),Abarenicola claparedi (#ref){531330},Animalia
354978,354978,Abarenicola (#ref),Abarenicola (#ref){354978},Animalia
79316,79316,Abasicarpon patulum,Abasicarpon patulum{79316},Plantae
200975,200975,Abasola (#ref),Abasola (#ref){200975},Animalia
337053,337053,Abasola sarea (#ref),Abasola sarea (#ref){337053},Animalia
392181,392181,Abastus macquarti,Abastus macquarti{392181},Animalia
816,816,Abasula sarea,Abasula sarea{816},Animalia
251022,251022,Abax carinatus carinatus (#ref),Abax carinatus carinatus (#ref){251022},Animalia
222609,222609,Abax carinatus (#ref),Abax carinatus (#ref){222609},Animalia
395789,395789,Abax carpathicus,Abax carpathicus{395789},Animalia
395772,395772,Abax ellipticus,Abax ellipticus{395772},Animalia
395773,395773,Abax lippizanus,Abax lippizanus{395773},Animalia
395785,395785,Abax magnicollis,Abax magnicollis{395785},Animalia
395784,395784,Abax montserratensis,Abax montserratensis{395784},Animalia
395674,395674,Abaxodes dejeanii,Abaxodes dejeanii{395674},Animalia
9157,9157,Abax ovalis (#ref),Abax ovalis (#ref){9157},Animalia
251017,251017,Abax parallelepipedus audouini (#ref),Abax parallelepipedus audouini (#ref){251017},Animalia
251018,251018,Abax parallelepipedus contractus (#ref),Abax parallelepipedus contractus (#ref){251018},Animalia
251019,251019,Abax parallelepipedus parallelepipedus (#ref),Abax parallelepipedus parallelepipedus (#ref){251019},Animalia
222607,222607,Abax parallelepipedus (#ref),Abax parallelepipedus (#ref){222607},Animalia
251020,251020,Abax parallelus parallelus (#ref),Abax parallelus parallelus (#ref){251020},Animalia
9158,9158,Abax parallelus (#ref),Abax parallelus (#ref){9158},Animalia
395779,395779,Abax podolicus,Abax podolicus{395779},Animalia
251021,251021,Abax pyrenaeus pyrenaeus (#ref),Abax pyrenaeus pyrenaeus (#ref){251021},Animalia
222608,222608,Abax pyrenaeus (#ref),Abax pyrenaeus (#ref){222608},Animalia
188661,188661,Abax (#ref),Abax (#ref){188661},Animalia
395783,395783,Abax sexualis,Abax sexualis{395783},Animalia
396811,396811,Abbotia georgiana,Abbotia georgiana{396811},Animalia
79317,79317,Abbotia palustris,Abbotia palustris{79317},Plantae
396814,396814,Abbotia paykulliana,Abbotia paykulliana{396814},Animalia
79318,79318,Abbotia pumila,Abbotia pumila{79318},Plantae
223972,223972,Abdera affinis (#ref),Abdera affinis (#ref){223972},Animalia
397289,397289,Abdera bifasciata,Abdera bifasciata{397289},Animalia
223971,223971,Abdera bifasciata,Abdera bifasciata{223971},Animalia
223969,223969,Abdera bifasciata (#ref),Abdera bifasciata (#ref){223969},Animalia
12064,12064,Abdera biflexuosa,Abdera biflexuosa{12064},Animalia
223973,223973,Abdera flexuosa (#ref),Abdera flexuosa (#ref){223973},Animalia
397294,397294,Abdera picea,Abdera picea{397294},Animalia
223970,223970,Abdera quadrifasciata (#ref),Abdera quadrifasciata (#ref){223970},Animalia
188662,188662,Abdera (#ref),Abdera (#ref){188662},Animalia
397296,397296,Abdera scutellaris,Abdera scutellaris{397296},Animalia
397297,397297,Abdera suturalis,Abdera suturalis{397297},Animalia
397292,397292,Abdera undata,Abdera undata{397292},Animalia
677393,677393,Abderospira pacifica,Abderospira pacifica{677393},Animalia
702099,702099,Abditodentrix pseudothalmanni (#ref),Abditodentrix pseudothalmanni (#ref){702099},Chromista
358963,358963,Abditodentrix (#ref),Abditodentrix (#ref){358963},Chromista
382351,382351,Abditodentrix rhomboidalis (#ref),Abditodentrix rhomboidalis (#ref){382351},Chromista
544733,544733,Abdopus abaculus (#ref),Abdopus abaculus (#ref){544733},Animalia
542799,542799,Abdopus (#ref),Abdopus (#ref){542799},Animalia
631189,631189,Abelmoschus abelmoschus,Abelmoschus abelmoschus{631189},Plantae
447298,447298,Abelmoschus esculentus (#ref),Abelmoschus esculentus (#ref){447298},Plantae
447299,447299,Abelmoschus manihot (#ref),Abelmoschus manihot (#ref){447299},Plantae
448836,448836,Abelmoschus manihot subsp. manihot (#ref),Abelmoschus manihot subsp. manihot (#ref){448836},Plantae
707070,707070,Abelmoschus manihot subsp. tetraphyllus (#ref),Abelmoschus manihot subsp. tetraphyllus (#ref){707070},Plantae
447300,447300,Abelmoschus moschatus (#ref),Abelmoschus moschatus (#ref){447300},Plantae
448749,448749,Abelmoschus moschatus subsp. moschatus (#ref),Abelmoschus moschatus subsp. moschatus (#ref){448749},Plantae
448830,448830,Abelmoschus moschatus subsp. tuberosus (#ref),Abelmoschus moschatus subsp. tuberosus (#ref){448830},Plantae
445745,445745,Abelmoschus (#ref),Abelmoschus (#ref){445745},Plantae
631191,631191,Abelmoschus tulipaeflorus,Abelmoschus tulipaeflorus{631191},Plantae
631192,631192,Abelmoschus vitifolius,Abelmoschus vitifolius{631192},Plantae
756605,756605,Abelona cephalocausta (#ref),Abelona cephalocausta (#ref){756605},Animalia
439359,439359,Abelona guadeloupensis (#ref),Abelona guadeloupensis (#ref){439359},Animalia
438033,438033,Abelona (#ref),Abelona (#ref){438033},Animalia
439332,439332,Abelona rubescens (#ref),Abelona rubescens (#ref){439332},Animalia
243189,243189,Abemus chloropterus (#ref),Abemus chloropterus (#ref){243189},Animalia
205435,205435,Abemus (#ref),Abemus (#ref){205435},Animalia
764874,764874,Aberemoa guianensis,Aberemoa guianensis{764874},Plantae
764875,764875,Aberemoa longifolia,Aberemoa longifolia{764875},Plantae
710053,710053,Aberia caffra,Aberia caffra{710053},Plantae
631193,631193,Aberia gardneri,Aberia gardneri{631193},Plantae
631194,631194,Aberia hebecarpa,Aberia hebecarpa{631194},Plantae
